,uid,zoom,desc
796,E11025,edist,Castlekeeran
797,E11026,edist,Ceannanus Mór (Kells) Rural
798,E11027,edist,Cruicetown
799,E11028,edist,Girley
800,E11029,edist,Kilmainham
801,E11030,edist,Kilskeer
802,E11031,edist,Loughan
803,E11032,edist,Maperath
804,E11033,edist,Martry
805,E11034,edist,Moybolgue
806,E11035,edist,Moynalty
807,E11036,edist,Newcastle
808,E11037,edist,Newtown
809,E11038,edist,Nobber
810,E11039,edist,Posseckstown
811,E11040,edist,Staholmog
812,E11041,edist,Tailtin
813,E11042,edist,Trohanny
814,E11043,edist,Ardcath
815,E11044,edist,Duleek
816,E11045,edist,Julianstown
817,E11046,edist,Mellifont
818,E11047,edist,St. Mary's (Part Rural)
819,E11048,edist,Stamullin
820,E11049,edist,Ardbraccan
821,E11050,edist,Ardmulchan
822,E11051,edist,Bective
823,E11052,edist,Castletown
824,E11053,edist,Domhnach Phádraig
825,E11054,edist,Kentstown
826,E11055,edist,Navan Rural
827,E11056,edist,Painestown
828,E11057,edist,Rathkenny
829,E11058,edist,Slane
830,E11059,edist,Stackallan
831,E11060,edist,Tara
832,E11061,edist,Crossakeel
833,E11062,edist,Crosskeys
